GED,f1,precision,recall,trans_f1,trans_precision,trans_recall,rand_trans_f1,n_pred,n_ref,patient,mode
6.0,0.6,0.6666666666666666,0.5454545454545454,0.25,0.25,0.25,0.0965,9,11,P1,unlabeled
6.0,0.6923076923076923,0.6,0.8181818181818182,0.46153846153846156,0.3333333333333333,0.75,0.12738461538461535,15,11,P1,labeled
4.0,0.5,0.5555555555555556,0.45454545454545453,0.0,0.0,0.0,0.085,9,11,P3,unlabeled
9.0,0.6206896551724137,0.5,0.8181818181818182,0.26666666666666666,0.18181818181818182,0.5,0.144,18,11,P3,labeled
6.0,0.5555555555555556,0.7142857142857143,0.45454545454545453,0.28571428571428575,0.3333333333333333,0.25,0.0782857142857143,7,11,P4,unlabeled
5.0,0.5714285714285713,0.6,0.5454545454545454,0.22222222222222224,0.2,0.25,0.10177777777777779,10,11,P4,labeled
5.0,0.380952380952381,0.4,0.36363636363636365,0.18181818181818182,0.14285714285714285,0.25,0.1261818181818182,10,11,P5,unlabeled
8.0,0.5714285714285714,0.47058823529411764,0.7272727272727273,0.26666666666666666,0.18181818181818182,0.5,0.1432,17,11,P5,labeled
5.0,0.761904761904762,0.8,0.7272727272727273,0.28571428571428575,0.3333333333333333,0.25,0.08742857142857144,10,11,P6,unlabeled
5.0,0.7407407407407406,0.625,0.9090909090909091,0.46153846153846156,0.3333333333333333,0.75,0.11846153846153844,16,11,P6,labeled
5.0,0.4210526315789474,0.5,0.36363636363636365,0.0,0.0,0.0,0.0905,8,11,P7,unlabeled
7.0,0.6206896551724137,0.5,0.8181818181818182,0.26666666666666666,0.18181818181818182,0.5,0.1365333333333333,18,11,P7,labeled
2.0,0.7999999999999999,0.8888888888888888,0.7272727272727273,0.3333333333333333,0.5,0.25,0.06199999999999999,9,11,P8,unlabeled
3.0,0.7200000000000001,0.6428571428571429,0.8181818181818182,0.36363636363636365,0.2857142857142857,0.5,0.10872727272727274,14,11,P8,labeled
