ARI,AMI,NMI,homogeneity,completeness,V_measure,purity,inv_purity,n_pred,n_true,resolution,timepoint
0.42006307621190075,0.4121792900278812,0.413500005090374,0.4070508620945896,0.42015679295335284,0.41350000509037405,0.609198727220133,0.6812264969626844,6,6,0.2,24h
0.3781056323399818,0.4507462208107766,0.45297224824570875,0.41771129294378057,0.4947351456113876,0.4529722482457088,0.6322463768115942,0.7596618357487923,5,6,0.2,3h
0.4117734330416312,0.44164874483188826,0.443097145154733,0.4225669340467275,0.46572412774698674,0.443097145154733,0.6303278688524591,0.740983606557377,5,6,0.2,72h
0.4401564120038688,0.48465871232201063,0.4863576141293027,0.4814718672245651,0.49134353400089503,0.4863576141293026,0.6078189300411523,0.6876543209876543,6,6,0.2,control
0.27617459212462725,0.36944963289345395,0.37104150570395905,0.3898395634364612,0.3539729361840381,0.37104150570395894,0.569568990454151,0.532831935203934,7,6,0.3,24h
0.4035936652803206,0.44757771192472173,0.4500709084288117,0.46409046003468474,0.43687354344293994,0.4500709084288117,0.677536231884058,0.6564009661835749,6,6,0.3,3h
0.38496352689257685,0.4329037531942577,0.4355230900178736,0.47351575158687387,0.4031742939102093,0.4355230900178736,0.6905737704918032,0.6192622950819672,9,6,0.3,72h
0.30133987982182364,0.4610557723149892,0.46305429181178376,0.48854910385514333,0.44008838992968974,0.46305429181178376,0.6135802469135803,0.5679012345679012,7,6,0.3,control
0.27833005901772323,0.38262935394789543,0.3845312969353809,0.4413350758578668,0.3406824171094427,0.38453129693538085,0.6303153022852184,0.48481342204223316,9,6,0.5,24h
0.4343204340229787,0.46339624694485526,0.46661512211853606,0.5112275477340462,0.42916399693021845,0.46661512211853606,0.7095410628019324,0.6171497584541062,8,6,0.5,3h
0.37923356008342735,0.42326180420783494,0.42587400114028884,0.4707472265132534,0.38881119658367014,0.4258740011402889,0.6782786885245902,0.6040983606557377,9,6,0.5,72h
0.32181584704988875,0.4826213654058316,0.4849560216191793,0.5605830325536755,0.4273087481673805,0.48495602161917933,0.7106995884773663,0.4823045267489712,9,6,0.5,control
0.21618858373860242,0.370528768851133,0.3734254520841492,0.47078671366092406,0.30943301577461324,0.37342545208414923,0.6427538328030084,0.36389933468325136,14,6,0.8,24h
0.3182807012275334,0.42929470678541953,0.43389517026932073,0.5091216459531381,0.3780373634808706,0.43389517026932073,0.7028985507246377,0.5042270531400966,11,6,0.8,3h
0.2797649298794581,0.4066919425427247,0.41066991981676104,0.5028593977906765,0.3470458259490928,0.41066991981676104,0.6979508196721311,0.4610655737704918,14,6,0.8,72h
0.294807114533669,0.4810594518987427,0.48405223294814254,0.6047907262314364,0.40349898201820367,0.4840522329481425,0.7674897119341564,0.43991769547325105,12,6,0.8,control
0.20223852041950235,0.37080648950865347,0.3740694998364814,0.48440280997967705,0.30467346898494735,0.37406949983648147,0.6534567544113393,0.3468325137402372,16,6,1.0,24h
0.2845871916727585,0.4103956542426891,0.4154981224122968,0.49942549674316383,0.35572012493837357,0.4154981224122967,0.6648550724637681,0.45108695652173914,12,6,1.0,3h
0.24326408819872153,0.38629977892081235,0.3908698433844902,0.4980324380541213,0.32165806151199444,0.39086984338449027,0.6860655737704918,0.4204918032786885,16,6,1.0,72h
0.2963460125186817,0.48608058406413546,0.4892655753784219,0.6219946313644829,0.40322116066762115,0.4892655753784218,0.7736625514403292,0.4283950617283951,13,6,1.0,control
