N,n_conn_mean,n_conn_sd,coverage_mean,coverage_sd,jaccard_mean,jaccard_sd
10,77.21,2.957346783858802,0.9676388888888888,0.02093079056861353,0.8768166538428767,0.03404274681188366
20,73.155,2.126258450894434,0.9653472222222221,0.017948265632019466,0.9192896007628246,0.02796666547943376
30,71.825,1.8932445695155184,0.9674305555555556,0.020251004966679906,0.9394080730831024,0.02571673428062159
40,71.095,1.7424049471922425,0.9688194444444442,0.018607871815941736,0.9513276203745201,0.02301150263261459
50,70.885,1.6191896121208287,0.9718055555555556,0.017286506369684308,0.9597327805274634,0.019647368452971967
60,70.85,1.3481468762712763,0.9755555555555554,0.016329931618554526,0.967491793163026,0.02012905691346323
70,70.83,1.1962859190009718,0.9794444444444443,0.014431083564289493,0.975291455839401,0.015639307020947613
80,71.0,0.9746794344808963,0.9838194444444442,0.011684633982127827,0.9815969651158006,0.012500893298271577
90,70.935,0.8250909040826957,0.984861111111111,0.011299616239523087,0.9845243531202433,0.011535148850593535
100,72.0,0.0,1.0,0.0,1.0,0.0
