Key,T1,T2,T3,T4
0_0,0.320806458923939,0.4781413437575142,0.4901461168260736,0.5672815925721838
1_0,0.255091216329003,0.4194869353129622,0.5750134017023907,0.6394424063733738
2_0,0.3236552955329355,0.4832109788480584,0.4482322761867167,0.621499225154027
3_0,0.23997065293107722,0.47429197617221985,0.5577587125796203,0.621577671340555
4_0,0.23002235244470967,0.3737492333595006,0.4106050404375777,0.7681054194146106
5_0,0.22357702053758016,0.3746015558883633,0.5084890336368577,0.7250212197426711
6_0,0.27362866299019595,0.42116115086461753,0.39711001824567616,0.7160478246179849
7_0,0.21835536625938293,0.43118478143464933,0.4961280844127335,0.7027884588614625
8_0,0.19525600522926814,0.3712336562626907,0.46705187715643287,0.7471736614740788
9_0,0.3180288438923085,0.46881217359668276,0.5640423631684193,0.5870921584823453
10_0,0.3082506274593465,0.5287438561199713,0.5359311853566507,0.5600491571152846
11_0,0.3029018352497868,0.525570137537722,0.5453330354411557,0.5651984068340634
12_0,0.1952643527568141,0.49052792075008883,0.6333756723595491,0.5367769832980996
13_0,0.3674317210849449,0.46614361749931454,0.47940751193130304,0.5663897113188546
14_0,0.3013838520675406,0.40740889567481403,0.5707669661982124,0.6310691706484904
15_0,0.28032451391232105,0.3724805758820854,0.4109881597760281,0.7586824584900143
16_0,0.26786029387112836,0.3632006107884749,0.5032890158405318,0.7198581404899851
17_0,0.3652133270170639,0.452229537419794,0.5517630915838315,0.581446373280778
18_0,0.30276396660526966,0.47695310294134563,0.4849870778993558,0.545367057368995
19_0,0.21814613307319375,0.41984073386884346,0.5843680291493886,0.6452109390904545
20_0,0.3018173032484918,0.46685261088947294,0.4228449365406521,0.6228991870425065
21_0,0.19940216109882794,0.4661346582095332,0.5675675310656404,0.6328926786727347
22_0,0.19647991950726637,0.3736204361704899,0.41127304953503635,0.7727153641952355
23_0,0.1885029702807437,0.3756859190940146,0.5168178234237566,0.7273178739555803
24_0,0.2540773359682052,0.43809935783012505,0.4127655801697184,0.7071818876733946
25_0,0.18991755869007843,0.43617989533954166,0.5028214022817951,0.7044336872371795
26_0,0.17467370493788512,0.36714506912492656,0.47059842463098533,0.7617482715904533
27_0,0.28438311632378394,0.4612937948143092,0.5589237976775827,0.5814393222390914
28_0,0.26695020061929475,0.5243654894495696,0.5334684086317307,0.5601808465412936
29_0,0.3168752690568009,0.4932525115970029,0.5069549746624835,0.5300732214293377
30_0,0.33978093201920734,0.43739135953424335,0.5457788951583018,0.5001816676101459
31_0,0.336247550970204,0.430616372836405,0.6206805518994144,0.5416950362640108
35_0,0.286340958278056,0.4431345860660639,0.47355849664188043,0.6089697653856344
36_0,0.2101994102492512,0.4174519394263693,0.5808272699847828,0.6359020747672735
37_0,0.24030162628949853,0.3686389529455566,0.4125613673374061,0.7545850706642057
38_0,0.2030626237842367,0.3681225943036521,0.5167103154012106,0.7125676744756704
39_0,0.2938093255681091,0.4648437138214831,0.5602085054758523,0.5803458638421788
