,s3->s1->s1->s1[1_0],s1->s1->s1->s1[2_0],s2->s2->s2->s2[3_0]
0,Target200,Target200,Target64
1,Target102,Target198,Target247
2,Target219,Target105,Target297
3,Target24,Target103,Target198
4,Target217,Target165,Target17
5,Target177,Target190,HK78
6,Target105,Target170,Target286
7,Target209,Target99,B5_TF1
8,Target208,Target214,HK42
9,Target103,Target175,Target60
10,Target298,Target180,Target95
11,Target203,Target183,HK20
12,Target5,Target96,HK97
13,Target300,Target15,Target39
14,Target210,Target98,HK56
15,Target181,C4_TF1,HK68
16,Target165,Target100,Target90
17,Target18,Target176,Target55
18,Target190,Target299,Target236
19,Target170,Target192,Target176
20,Target99,C3_TF1,Target11
21,Target189,Target12,Target274
22,Target162,Target28,HK40
23,Target223,Target24,Target51
24,Target211,Target168,Target58
25,C5_TF1,Target177,Target203
26,Target214,Target203,Target116
27,Target27,Target210,HK76
28,Target166,Target162,HK85
29,Target7,Target211,Target275
30,Target26,Target9,Target296
31,Target197,Target166,Target13
32,Target163,Target7,HK2
33,Target20,Target26,Target107
34,Target180,Target197,Target258
35,Target183,Target160,Target228
36,Target224,Target16,HK91
37,Target160,Target156,Target178
38,Target97,Target202,HK1
39,Target96,Target23,Target202
40,Target205,Target186,HK39
41,Target225,Target164,HK57
42,Target156,Target188,Target125
43,Target157,Target181,HK10
44,Target98,Target187,Target164
45,Target202,Target201,B3_TF1
46,C4_TF1,Target221,HK83
47,Target23,Target158,HK46
48,Target186,Target5,Target235
49,Target173,Target298,Target47
50,Target227,Target300,Target201
51,C2_TF1,Target223,HK86
52,Target176,Target163,Target124
53,Target174,Target20,HK75
54,Target299,Target212,Target204
55,Target199,Target157,Target33
56,Target184,Target173,Target244
57,Target164,Target101,HK30
58,Target188,Target174,Target262
59,Target192,Target218,Target223
60,Target185,Target217,Target136
61,Target218,Target97,HK90
62,C3_TF1,Target102,Target145
63,Target12,Target219,Target70
64,Target187,Target209,HK32
65,,Target208,HK77
66,,Target18,Target111
67,,Target189,Target249
68,,C5_TF1,Target257
69,,Target27,Target106
70,,Target30,Target87
71,,Target224,HK23
72,,Target205,Target34
73,,Target225,Target6
74,,Target227,Target91
75,,C2_TF1,Target36
76,,Target25,HK35
77,,C1_TF1,HK69
78,,Target199,Target133
79,,Target184,Target246
80,,Target31,Target37
81,,Target185,Target115
82,,Target21,HK81
83,,,Target1
84,,,HK70
85,,,HK67
86,,,Target225
87,,,Target150
88,,,Target231
89,,,Target19
90,,,HK45
91,,,HK25
92,,,HK11
93,,,Target276
